Name,Coordinate
Sec 26 SA,"3.037575,101.550987"
AyerKerohHeight Mlk,"2.255407,102.291386"
SP I Tmn Sejati Kdh,"5.613063,100.483282"
Ipoh Garden Prk,"4.610401,101.109817"
Perling JB,"1.482514,103.686065"
Jln Yang Kalsom Prk,"4.590868,101.084248"
Centre Point Sel,"3.138437,101.610717"
Larkin Jaya JB,"1.496811,103.739932"
Wangsa Melawati KL,"3.209027,101.743395"
Sri Andalas Klg,"3.015279,101.443671"
Batu Belah Klg,"3.070417,101.441091"
Batu Berendam Mlk,"2.237911,102.260653"
Tmn U JB,"1.541081,103.629138"
Skudai JB,"1.538665,103.661019"
Kota Tinggi JB,"1.730178,103.901589"
Sg Dua Pg,"5.352224,100.298832"
Bangi SEL,"2.954131,101.778824"
Tmn Intan Kluang JB,"2.017988,103.30137"
Rinting Masai Jhr,"1.489556,103.870553"
Permas JB,"1.496928,103.815487"
Stulang JB,"1.469879,103.781267"
AU4 Ampang,"3.197077,101.75922"
Rasah Sbn N9,"2.703982,101.940647"
Teluk Pulai KL,"3.042704,101.426956"
Sec 9 SA,"3.085422,101.522703"
Penang Road Pg,"5.420404,100.332658"
Farlim Pg,"5.389017,100.284314"
Pdn Perdana KL,"3.120413,101.743373"
Danau Kota KL,"3.207527,101.71972"
Kinrara Puchong,"3.066859,101.64948"
Senawang N9,"2.692008,101.975186"
Sg Long Kajang,"3.03975,101.792503"
Puteri Wangsa JB,"1.577087,103.812059"
Melaka Raya Mlk,"2.18762,102.256215"
SP II TmnRiaJaya Kdh,"5.653254,100.514072"
Ujong Pasir Mlk,"2.187298,102.269226"
Bukit Pasir JB,"1.864609,102.940178"
Sec 18 SA,"3.044987,101.517402"
Bandar Baru Selayang,"3.256357,101.656012"
"Segambut, KL","3.18895,101.652522"
SPIIITmnPknBaruSPKdh,"5.639942,100.48377"
Telawi 5 Bangsar,"3.132928,101.671979"
Rosmerah JB,"1.534598,103.795459"
Desa Setapak KL,"3.206563,101.734337"
SS2 PJ,"3.119816,101.622047"
Sri Sentosa KL,"3.074076,101.653589"
Eng Ann Klg,"3.057495,101.459714"
Tmn Daya JB,"1.545205,103.762621"
Dedap JB,"1.541905,103.803297"
Bayu Perdana Klg,"3.014869,101.435305"
Melaka Mall Mlk,"2.2135,102.239979"
Century JB,"1.486726,103.759998"
Tmn Tenaga Cheras,"3.114055,101.725464"
Taipan Subang Jaya,"3.047772,101.583546"
Tmn Pokok Mangga Mlk,"2.234197,102.224509"
Kuchai KL,"3.088949,101.68934"
Sec 20 SA,"3.056576,101.541328"
Tebrau JB,"1.486257,103.769198"
Ambong Kepong,"3.210226,101.647398"
Ampangan Sbn N9,"2.723953,101.962738"
Jln Sutera JB,"1.491662,103.76761"
Larkin Perdana JB,"1.500761,103.748695"
Gottlieb Pg,"5.432641,100.302381"
USJ 14 Subang Jaya,"3.038472,101.588452"
Sec 11 SA,"3.075549,101.529505"
Sec 14 Mosque KL,"3.109829,101.635804"
Sri D'sara Cempaka,"3.192948,101.606605"
Miharja KL,"3.1234,101.722892"
Molek JB,"1.527313,103.791631"
"Jln Nakhoda, JB","1.520112,103.660828"
BB Sg Buloh 1A/3 Sel,"3.210928,101.565745"
"S6,Kota D'sara,Sel","3.158872,101.57344"
Selayang Jaya,"3.237922,101.651033"
Kelana Park View PJ,"3.101132,101.599599"
Seremban Town N9,"2.724156,101.93974"
TTJ Sbn N9,"2.670566,101.996803"
Sunway Mentari,"3.074794,101.61132"
Tmn Bersatu Rwg,"3.309533,101.583235"
Wangsa Maju,"3.201887,101.731704"
USJ 4 Subang Jaya,"3.056701,101.577216"
Tanjung Pg,"5.451121,100.305065"
Midah KL,"3.102116,101.733181"
"Jln Rogayah BP, JHR","1.854679,102.92619"
Bukit Raja Klg,"3.062709,101.469756"
Bdr Kluang JB,"2.034256,103.320268"
Senai JB,"1.599706,103.644518"
Setapak Jaya,"3.195289,101.711624"
Desa Cempaka N9,"2.802506,101.767407"
Metro Kepong,"3.212053,101.642654"
Tmn Semarak N9,"2.821891,101.817161"
Chulia Pg,"5.418419,100.336246"
Ampang Jln Wawasan,"3.145653,101.767119"
Tmn Sentosa Klg,"3.01015,101.468533"
Puchong Permai,"3.009494,101.599425"
Ipoh Jaya Prk,"4.578866,101.127597"
Connaught Cheras,"3.082227,101.73581"
Sec 27 SA,"3.01476,101.560023"
Sec 25 SA,"3.026181,101.542127"
Cempaka Ampang,"3.139394,101.751066"
Jln Onn Jaafar Prk,"4.597808,101.083451"
Tmn Wawasan Puchong,"3.028616,101.625957"
Sec 28 SA,"3.006232,101.568198"
Berjaya KL,"3.143052,101.709717"
Seberang Jaya PG,"5.397222,100.398959"
Pontian JB,"1.485606,103.390899"
Bkt Anggerik Cheras,"3.057899,101.748488"
Sg Ara BayanLepas Pg,"5.324714,100.27157"
Batu Caves,"3.255529,101.694246"
Kota Raja Klg,"3.028752,101.466813"
Aman Puri Kepong,"3.211531,101.615837"
Tmn Delima Raya Mlk,"2.225944,102.276189"
Mega Mall Prai Pg,"5.376522,100.397929"
"Jln Ipoh II, KL","3.188824,101.680934"
Ampang Hilir,"3.150535,101.748467"
Pandan Cahaya Ampang,"3.138802,101.756656"
Bt 3 Cheras,"3.12028,101.728621"
KL Sentral,"3.13415,101.686205"
Bukit Indah Ampang,"3.153189,101.774241"
Fortune Court Pg,"5.397596,100.288044"
KL Plaza,"3.147348,101.713139"
Country Homes Rwg,"3.324236,101.526029"
Gelugor PG,"5.367442,100.310084"
D'sara Damai Sel,"3.190843,101.590874"
Tmn Sri Duyung Mlk,"2.203808,102.312906"
Lrg Tun Ismail Phg,"3.814167,103.329254"
Tmn Metro Phg,"3.828699,103.341763"
Alam Jaya Kajang,"3.080411,101.764925"
Jln Tun Ismail Phg,"3.810907,103.324383"
Tmn Pasdec Phg,"3.815382,103.297024"
Damai Perdana Cheras,"3.046853,101.739634"
Kapar Klg,"3.094849,101.383971"
Pantai KL,"3.108795,101.669975"
Shamelin Cheras,"3.123314,101.736982"
Sri Orkid JB,"1.50982,103.64154"
Bkt Kempas JB,"1.526994,103.6956"
Arena Green B.Jalil,"3.052465,101.687919"
Spg Kuala A.Star Kdh,"6.099038,100.365984"
Teratai Mewah KL,"3.200971,101.71024"
Jln Air Putih Phg,"3.829424,103.335739"
Serdang Raya Sel,"3.042975,101.704511"
Bukit Maluri KL,"3.200128,101.632464"
Taming Jaya Balakong,"3.023947,101.74171"
Bkt Tinggi Klg,"3.008646,101.439646"
"Times Square, KL","3.142485,101.709814"
Kajang Prima,"2.983191,101.81575"
Tanjung Chat Kltn,"6.13396,102.252355"
Pandamaran Klg,"3.015778,101.425518"
Intan Baiduri KL,"3.233453,101.648659"
Bdr Sri Gombak,"3.240857,101.705053"
Jln Snooker 13/28 SA,"3.087741,101.545526"
Jln Lumut KL,"3.170407,101.696491"
Selasar Rokam Prk,"4.578636,101.122935"
Tmn Cheng Baru Mlk,"2.273862,102.216392"
Kubang Krian Kltn,"6.095366,102.278155"
Central Park Kch,"1.524696,110.337227"
Tmn Sri Cempaka Mlk,"2.218785,102.248672"
Jln Pasar Klg,"3.04981,101.44406"
ComplexBktJambul Pg,"5.332816,100.290684"
Batu Ferringi Pg,"5.475354,100.252746"
Tmn Uni Indah S.Kemb,"3.005712,101.692138"
Tmn Megah Cheras,"3.05435,101.769013"
Meru Klg,"3.062503,101.452091"
Tmn Shatin Prk,"4.553685,101.074734"
Jln Hang Tuah Mlk,"2.201562,102.24772"
"Sek 8, Shah Alam","3.091132,101.508471"
Macalister Pg,"5.416101,100.324573"
Kemuning Kulim Kdh,"5.373317,100.535668"
Gurney Pg,"5.433952,100.315169"
Bkt Mertajam Pg,"5.363399,100.44497"
Cheras Perdana,"3.045937,101.767417"
PutraPerdana Puchong,"2.948441,101.618299"
Tmn Beringin Jinjang,"3.220676,101.665825"
TmnSriTelokMas Mlk,"2.161747,102.323262"
Tmn Melati Setapak,"3.22494,101.723314"
BdrDarulamanJitraKdh,"6.243097,100.420181"
Batu Kawah Kch,"1.512705,110.307876"
"Sg Besi Indah, SEL","3.028099,101.721824"
Beecham Timur Prk,"4.63643,101.134726"
Klang Utama,"3.083858,101.41229"
"Sri Subang, PJ","3.077759,101.608563"
Fair Park Prk,"4.606682,101.094848"
Precinct 9 Putrajaya,"2.937866,101.672013"
"Sec 16, Bangi","2.943837,101.764166"
Tmn Guru Phg,"3.775941,103.269655"
Pantai Dalam KL,"3.10372,101.665847"
Masjid Tanah Mlk,"2.351476,102.108535"
Kemunting Jaya Prk,"4.894064,100.723597"
"Garden Home,Sbn 2 N9","2.683756,101.904679"
Riverbank Kch,"1.558362,110.351837"
Tmn Merdeka Mlk,"2.260749,102.241309"
Ukay Perdana Ampang,"3.20407,101.77855"
Bkt Mertajam II Pg,"5.363097,100.463431"
Kebun Sultan Kltn,"6.130722,102.242997"
Tmn Mawar Rwg,"3.300592,101.591359"
Jalan Bandar Rwg,"3.324199,101.577865"
Bkt Gambir Pg,"5.356905,100.292625"
Jln Hujan Emas OUG,"3.074186,101.671624"
KoperasiPolisB.Caves,"3.220304,101.690958"
Jln Cerdas Cheras,"3.081391,101.736477"
Jln Radin Anum KL,"3.068704,101.690738"
Jln Bercham Prk,"4.63077,101.127506"
Wira Mergong Kdh,"6.143144,100.358608"
Tmn Sg. Besi,"3.093832,101.700069"
Serdang Jaya,"3.020452,101.712399"
Tanjung Malim Prk,"3.690126,101.522794"
Tmn Debunga Mlk,"2.14432,102.423061"
Tmn Suntex Cheras,"3.071703,101.766644"
Parit Buntar Prk,"5.119325,100.486818"
Jln TAR KL,"3.163179,101.697926"
Bandar Puchong,"3.03494,101.617554"
BdrHusseinOnn Cheras,"3.054897,101.758737"
Prima Alor Gajah Mlk,"2.380722,102.209804"
"Tun Aminah, JB","1.50919,103.652661"
Tmn Sri Pulai Sbn N9,"2.738951,101.959927"
Matahari Height N9,"2.708038,101.993366"
"Sec 4,Sg Besi Indah","3.024287,101.716342"
D'sara Perdana Sel,"3.166497,101.60701"
Subang Angsana,"3.044775,101.60238"
BaganAjamB'worth Pg,"5.435508,100.380468"
Bdr Tunggal N9,"2.728939,101.93771"
Seremban Jaya N9,"2.67465,101.978177"
Sg Dua B'worth Pg,"5.438638,100.431274"
Alma Bkt Mertajam Pg,"5.332547,100.480882"
"Segamat, JB","2.504426,102.823196"
P.J Old Town,"3.08584,101.646379"
Batang Kali Sel,"3.459373,101.655193"
BdrPuteri7/9 Puchong,"3.025423,101.623446"
Sabak Bernam Sel,"3.76769,100.982388"
Wangsa Maju II,"3.19765,101.745315"
Tmn Bkt Rambai Mlk,"2.261997,102.192722"
Bdr Kinrara Puchong,"3.042841,101.641412"
"Rasah Jaya, Sbn N9","2.679845,101.946677"
Bertam Indah Pg,"5.51934,100.436502"
"Desa Serdang, SEL","3.00999,101.723662"
LagendaHeightsSP KDH,"5.662388,100.502925"
"Labis, JB","2.39705,103.01908"
TmnMajuJaya Puchong,"2.998327,101.61195"
Tmn Dato Senu Sentul,"3.193414,101.695957"
"Jalan Ali, Muar Jhr","2.045192,102.567144"
"Sek U3, Shah Alam","3.15054,101.541457"
"Tunku Antah, Sbn N9","2.714051,101.949388"
Bdr Baru Jasin Mlk,"2.31237,102.432309"
Tmn Bkt Beruang Mlk,"2.246362,102.274335"
Sekinchan Sel,"3.506814,101.102755"
Jln Air Jernih Trg,"5.328808,103.135456"
"Section 7, Shah Alam","3.07634,101.497112"
Bdr Melawati K.Sel,"3.330132,101.256853"
"PKNK, Alor Setar Kdh","6.13756,100.383893"
Bandar Manjalara KL,"3.192991,101.625745"
TmnSriSinar Segambut,"3.186344,101.651121"
Raub Phg,"3.791137,101.856608"
Tmn TAS Phg,"3.770948,103.234218"
TmnPekaka N Tebal Pg,"5.140656,100.490871"
Sg. Abong Muar Jhr,"2.060238,102.597579"
"Gelang Patah, JB","1.45018,103.595111"
Tmn Tunggal Mlk,"2.310906,102.28132"
"T.Sena Indah, Kangar","6.445756,100.206261"
Chowrasta Pg,"5.419031,100.332043"
KL Monorail,"3.132602,101.687605"
Medan Maju PJ,"3.081862,101.641015"
"Tmn Lembah Maju,KL","3.124875,101.755741"
Jln Teluk Sisek Phg,"3.810798,103.331582"
Tmn Kinrara Puchong,"3.065752,101.637737"
TmnPermaiBemban Mlk,"2.26969,102.375101"
TmnBudayaB. PahatJhr,"1.863584,102.95938"
"Pelangi Indah, JB","1.579811,103.800193"
"Jln Besar, Sg.Buluh","3.257923,101.306527"
Jementah Segamat Jhr,"2.436629,102.683573"
Sek 24 SA,"3.036335,101.52027"
Pasir Pekan Kltn,"6.115315,102.214262"
Puchong Utama,"2.992153,101.615043"
"Sec 8, Bangi","2.962836,101.758182"
Kuala Kubu Bharu Sel,"3.56318,101.658291"
Tmn Medan PJ,"3.074095,101.63539"
"Wisma 7 Eleven, KL","3.149346,101.711224"
DamarLautBynLepas Pg,"5.279082,100.271661"
"Tangkak, JB","2.265428,102.538359"
Karak Phg,"3.415324,102.033476"
"Jln Besar Kapar, KLG","3.137498,101.373757"
Senawang Jaya N9,"2.691722,101.984252"
"Tmn Gembira Kuchai, KL","3.083764,101.681589"
Kemayan Square N9,"2.718243,101.92292"
Tmn Pauh Indah Pg,"5.375187,100.420832"
Jln Pejabat Trg,"5.330172,103.142212"
Kajang Mewah,"2.976621,101.780313"
Bangi Perdana,"2.947456,101.780635"
Plaza Sg Udang Mlk,"2.28183,102.13452"
Tlk Panglima Garang,"2.91002,101.470013"
Bukit Idaman B.Caves,"3.247426,101.643196"
Bangunan Loke Yew,"3.147177,101.694804"
Pasir Puteh Kltn,"5.835454,102.409578"
Tasik Puteri Rwg,"3.284691,101.472787"
Bdr Sri Putra Kajang,"2.884703,101.79002"
"Kota Kemuning, SA","2.991226,101.548082"
Jln Ipoh III KL,"3.169012,101.695829"
Jln Satok Kch,"1.552758,110.335798"
Kompleks PSAH AS Kdh,"6.107402,100.361352"
Pendamar Indah Klg,"2.979824,101.426513"
Kuala Sg Baru Mlk,"2.361598,102.038001"
Desa Tsk Sg Besi KL,"3.07195,101.714819"
Yong Peng Jhr,"2.010962,103.066292"
Bdr Puchong Jaya,"3.060492,101.626762"
BdrBaruSgBuloh3/1Sel,"3.203708,101.560425"
Melaka Sentral Mlk,"2.221348,102.250005"
Bestari Jaya Sel,"3.378474,101.405554"
"Pekan Nanas, JB","1.507391,103.512768"
Raja Muda Musa Klg,"3.004483,101.401765"
"Assunta, PJ","3.093441,101.645054"
Tanjung Karang Sel,"3.424339,101.179299"
"Kota Masai, JB","1.490676,103.928033"
"Bkt Gambir, JB","2.211876,102.653691"
Sec 3 SA,"3.07594,101.509479"
TmnAirBiruP.GudangJB,"1.458117,103.913693"
Sg Besar Sel,"3.673991,100.985486"
Tmn Nirwana Btg3 Mlk,"2.221149,102.184176"
Ketereh Kltn,"5.957826,102.249495"
"USJ 1, Subang","3.057567,101.599575"
Sect. 11 PJ,"3.110849,101.648922"
"Tmn Sri Muda, SA","3.032542,101.536629"
Taman Sri Puchong,"3.026808,101.607745"
Pelangi D'sara Sel,"3.154019,101.603005"
Jln Kuala Krai Kltn,"6.087211,102.23834"
PulauSebangTampinMlk,"2.463351,102.230851"
Desa Ria Cheras,"3.023821,101.74966"
TmnYayasanSegamatJhr,"2.547021,102.791114"
"Lobak, Sbn N9","2.730868,101.931962"
Harmoni Indah S.Kemb,"3.026018,101.733168"
"Kolam Air, JB","1.47159,103.736611"
NusaBestariSkudai JB,"1.492566,103.657819"
"Bdr Semenyih, SEL","2.948229,101.846341"
Kek Lok Si Pg,"5.402058,100.276707"
Bdr Putra Segamat JB,"2.494162,102.865054"
Subang 2 SA,"3.160032,101.547897"
Langgar Kltn,"6.113492,102.250287"
Pinggiran Putra Sel,"2.99004,101.673735"
"Tampoi Indah, JB","1.507083,103.687986"
PD Centerpoint N9,"2.52317,101.797554"
TmnBertamPerdana Mlk,"2.242103,102.215547"
Jalan Putra KL,"3.166623,101.695391"
Pasir Tumboh Kltn,"6.057607,102.280684"
Aman Suria PJ,"3.122034,101.59527"
Medan Gopeng Prk,"4.572928,101.111413"
RJ Muda Musa II Klg,"3.034123,101.438428"
Jln Besar Phg,"3.803352,103.326292"
Tabuan Heights Kch,"1.517443,110.366348"
Desa Jaya Kepong,"3.213336,101.631517"
DatoKailanK.BatasPg,"5.51584,100.430775"
Sunway Extreme PJ,"3.061164,101.610459"
Jln Sultan Omar Trg,"5.325309,103.141617"
"Segamat Baru, JB","2.491662,102.852131"
Tmn Perkota Mlk,"2.226164,102.264433"
USJ 17 Subang Jaya,"3.033507,101.579034"
Segar P'dana Kajang,"3.092077,101.761687"
Jerantut Phg,"3.935803,102.37373"
Triang Phg,"3.249477,102.421417"
Jln Dato Keramat Pg,"5.412849,100.315255"
TmnAlkaffSilibin Prk,"4.608168,101.062028"
"Desa Palma, Sbn N9","2.812708,101.760821"
Tmn Saujana Puri Mlk,"2.233768,102.301394"
Selayang Baru,"3.250827,101.666922"
Kuala Pilah N9,"2.735596,102.231586"
"Selayang Utama, SEL","3.23725,101.643689"
Bdr Sri PermaisuriKL,"3.101494,101.707831"
Kota Samarahan Kch,"1.455897,110.451452"
Bdr Baru Rompin Phg,"2.796321,103.486262"
"Parit Raja, JB","1.864587,103.111059"
"Bukit Kuda, Klg","3.046216,101.458405"
E-Gate Gelugor Pg,"5.376271,100.315279"
"Campbell, KL","3.156711,101.696684"
Sepakat Indah Kajang,"2.983296,101.783253"
"Tmn Bkt Mewah, JB","1.518044,103.687999"
Kg Baru Subang TUDM,"3.142447,101.53691"
Jln Berserah Phg,"3.824361,103.334363"
Tmn Binaraya Kltn,"6.147405,102.293135"
"Air Hitam, JB","1.917263,103.179444"
"Gemencheh, N9","2.53067,102.400343"
Bdr Baru Kampar Prk,"4.326445,101.143399"
Tmn Uda Murni Kltn,"6.142296,102.265943"
Salak Tinggi Sepang,"2.811449,101.737991"
"Tmn Bukit Subang, SA","3.168894,101.517457"
Tesco Puchong,"3.032789,101.615306"
"S4,Kota D'sara,Sel","3.153618,101.578916"
Kajang Perdana,"2.993442,101.816485"
JlnRajaUdaB'worth Pg,"5.42075,100.381348"
Sg. Bakap Pg,"5.230596,100.492024"
Jln Genting Klang KL,"3.195495,101.712847"
SulAbdSamadBanting,"2.812784,101.500626"
Mdn Saujana Prk,"4.875193,100.727903"
Jln Tupai Prk,"4.848873,100.743843"
"Ulu Tiram, JB","1.566325,103.814165"
Kemuning Doritis SA,"2.985575,101.540574"
Kemuning Vanilla SA,"3.005064,101.536781"
Sri Selayang,"3.235325,101.672611"
Bentayan Muar Jhr,"2.050722,102.57091"
Lukut PD N9,"2.566785,101.827579"
KasturiPlazaBalakong,"3.038306,101.768857"
TmnMegahRiaMasai Jhr,"1.489421,103.849929"
Taman Bahagia Phg,"3.450969,102.410042"
Plaza Idaman Setapak,"3.213135,101.713421"
Oakland Sbh N9,"2.709587,101.917838"
Mahkota Raya Mlk,"2.186743,102.253253"
Pekan Nilai N9,"2.802072,101.798919"
Saujana Utama 2 Sel,"3.200165,101.486479"
Jln Peramu Phg,"3.795809,103.335988"
Tmn City Phg,"3.82667,103.337837"
Mantin N9,"2.823282,101.893274"
Rembau N9,"2.590386,102.093858"
Stutong Comm Kch,"1.518754,110.379598"
"Bkt Serdang, SEL","3.021804,101.699026"
Jln Bagan Luar Pg,"5.397479,100.367953"
Melati Utama Setapak,"3.224138,101.729887"
Tmn Barakah Kltn,"5.814088,102.148441"
Rantau Panjang Klg,"3.069764,101.41207"
Jln Bukit Ubi Phg,"3.810369,103.32158"
Tandop Kdh,"6.080518,100.362478"
Kota Jembal Kltn,"6.113755,102.307766"
Jln Tok Lam Trg,"5.333316,103.138669"
Tangkak Jaya Jhr,"2.270909,102.553902"
"Sri Indah, Pg","5.343322,100.227823"
Pontian Baru Jhr,"1.478337,103.388487"
Kok Lanas Kltn,"5.925748,102.245164"
Batu Kikir N9,"2.830842,102.318525"
Putra Bestari 2 SJ,"3.014013,101.577978"
Tmn Kesidang Mlk,"2.218992,102.232624"
KLIA KuartersNilaiN9,"2.770789,101.762438"
TmnSriSelendang Mlk,"2.256276,102.256555"
USJ 11 Suabng Jaya,"3.047445,101.579777"
Jln Kg Pandan KL,"3.14415,101.73077"
"Teratai, JB","1.53651,103.81052"
Bandar Puncak Alam,"3.229342,101.427052"
PS Ulu Kelang,"3.20246,101.760489"
"Jln Bakri, Muar Jhr","2.048254,102.574987"
"Jln Perak, Pg","5.397262,100.314587"
Tmn Sejati Trg,"5.373392,103.084352"
Desa Permai Pg,"5.349611,100.299127"
Sitiawan Prk,"4.213432,100.69651"
Jln Asaad Kulim Kdh,"5.370081,100.554999"
Krystal Point Pg,"5.331558,100.296796"
Nilai Industry N9,"2.853063,101.804946"
Machang Kltn,"5.763829,102.219109"
Tmn Putri Kulai Jhr,"1.655066,103.574357"
The Curve PJ,"3.158221,101.611575"
Sg Isap Phg,"3.783384,103.28578"
Bdr Puteri Klg,"2.988018,101.467235"
Terminal Makmur Phg,"3.812735,103.324302"
Kubang Buaya Phg,"3.822977,103.346047"
Bdr Baru T.Intan Prk,"4.02003,101.023147"
Merak Bandar Puchong,"3.053346,101.622408"
Simpang Songsang Phg,"3.469608,102.382233"
"Berjaya Indah,B.M Pg","5.350544,100.470032"
BdarBaru Ampang,"3.146279,101.765091"
Kuantan Parade Phg,"3.805306,103.323476"
TmnFajarJaya Kluang,"2.051368,103.348091"
Jln KualaKangsar Prk,"4.771671,100.941882"
JlnDatoKumbar AS Kdh,"6.119884,100.387935"
Damansara Uptown,"3.133684,101.621397"
Komuter Btg Kali Sel,"3.468494,101.638622"
Tmn Muhibbah Mlk,"2.163366,102.430384"
SpgPertangJelebu N9,"2.944742,102.256995"
"Seksyen U5,Subang SA","3.167407,101.533855"
"Lebuh Turi,Klg","3.027300,101.428370"
Sec 15 Bangi,"2.93332,101.768614"
Kuala Kedah Kdh,"6.105653,100.290029"
Nadi Kota Jengka Phg,"3.768586,102.546346"
Kemaman Trg,"4.233793,103.422653"
Bkt Rangin Phg,"3.799297,103.26443"
"Keramat Permai,KL","3.17719,101.737808"
Jln Tok Kenali Kltn,"6.086002,102.28246"
USJ 8 Subang Jaya,"3.043221,101.59031"
Paroi Jaya N9,"2.73023,101.986204"
Kulai JB,"1.666007,103.591866"
"Tmn Sri Kuching, KL","3.197048,101.670476"
"Jln Besar,K. Perlis","6.399684,100.132444"
Bdr Baru Lipis Phg,"4.188431,102.053115"
TmnBadlishahKulimKdh,"5.394849,100.560026"
Tmn Sri Sarawak Kch,"1.556445,110.3507"
Tmn Sri Kelemak Mlk,"2.363798,102.209013"
"Plaza Puchong, KL","3.063524,101.649437"
Idris Shah Lumut Prk,"4.234732,100.631732"
ImpianEmasSkudai Jhr,"1.540199,103.684134"
Tmn Ikan Emas Cheras,"3.112073,101.71532"
Tmn MGBM Mlk,"2.226837,102.241663"
Wisma Sentosa Trg,"5.331714,103.148634"
Tmn Jaya Phg,"3.454679,102.449905"
Seri Manjung Prk,"4.204449,100.671935"
Tmn Sri Bayu Kltn,"6.0172,101.98069"
Tmn IndahpuraKulaiJB,"1.637515,103.617666"
KotaJaya k.Tinggi JB,"1.736628,103.889446"
Tmn Sri Putih Mlk,"2.258722,102.171796"
Pekan Jitra 2 Kdh,"6.258596,100.419588"
Tmn Putra Ampang,"3.120815,101.762822"
Jln Raya Barat Klg,"3.042935,101.441971"
Gua Musang Kltn,"4.875278,101.962421"
Jln Gong Badak Trg,"5.395129,103.083212"
Jln Ibrahim SP Kdh,"5.641827,100.488663"
"Bdr Putra IOI, JB","1.657168,103.629951"
Bdr Sri Semantan Phg,"3.449916,102.415591"
Tmn Mentiga Jaya Phg,"3.549738,103.381914"
"Persiaran Pegaga,Klg","3.01686,101.431972"
Bandar Bukit Puchong,"2.989665,101.629873"
Wakaf Siku Kltn,"6.117785,102.241696"
Dungun Trg,"4.758603,103.417775"
Bagan Serai Prk,"5.012586,100.533904"
Ulu Yam Bharu Sel,"3.4328,101.657934"
Jln Wong Ah Jang Phg,"3.807993,103.321569"
Pandamaran Jaya Klg,"3.004761,101.423826"
Maran Phg,"3.581978,102.774865"
Jln Jejaka Maluri KL,"3.12852,101.731513"
TmnSriPulaiSkudai JB,"1.565757,103.619163"
Serendah Sel,"3.365576,101.604266"
Tmn Merak Kulim Kdh,"5.372129,100.580885"
Tmn Bendahara Kltn,"6.163726,102.281392"
Rawang Mutiara Sel,"3.328842,101.579705"
Kota Baling Jaya Kdh,"5.654874,100.871757"
Sg D'sara Sec 32 SA,"2.986775,101.516158"
Bkt Rahman Putra SA,"3.229155,101.557671"
"Putra Point,Nilai N9","2.813785,101.7972"
"Jalan Utama, PG","5.414464,100.311283"
Tmn Sri Skudai Jhr,"1.547527,103.651309"
Muadzam Shah Phg,"3.055103,103.085073"
Sri Jaya Phg,"3.670913,102.874815"
Jln Parit Dalam Kltn,"6.129492,102.240295"
Desaria BynLepas Pg,"5.319543,100.268394"
"Jln Bt Nilam,Klg","3.01,101.4343"
"Jln Balakong 27/7,SA","3.023069,101.566986"
"Jln Meru Seti, Klg","3.135655,101.418622"
Kuala Berang Trg,"5.072742,103.011278"
"Jln Rj Syed Alwi,Kgr","6.436377,100.19418"
Times Square II KL,"3.142201,101.71167"
Sri Rusa Jaya PD N9,"2.475702,101.856321"
"Impian Baiduri,PJ","3.094774,101.622234"
"Tmn Bukit Emas,PJ","3.113249,101.6051"
"Seri Setia,PJ","3.085422,101.620531"
Telawi 4 Bangsar,"3.131459,101.671509"
PersPuteri 1 Puchong,"3.022951,101.615555"
